"World energy intensity by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=46-IEO2019&cases=Reference&sourcekey=0"
"Tue Oct 05 2021 15:50:12 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
OECD,,46-IEO2019.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,"Energy intensity: OECD Americas": Reference,46-IEO2019.2.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",6.5503,6.4213,6.1591,6.2047,6.1033,5.8912,5.7978,5.7088,5.6759,5.5299,5.4277,5.3371,5.2388,5.1439,5.0523,4.9539,4.8582,4.7688,4.684,4.604,4.5171,4.4366,4.3558,4.2787,4.2065,4.1437,4.0862,4.0287,3.9768,3.9257,3.876,3.8256,3.7746,3.7249,3.6777,3.6348,3.5955,3.5565,3.5212,3.4858,3.45,"-1.5%"
United States,"Energy intensity: OECD Americas: United States": Reference,46-IEO2019.3.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",6.5227,6.3717,6.0725,6.1208,6.0433,5.8063,5.7097,5.6253,5.6081,5.4511,5.3347,5.2435,5.1489,5.0538,4.9626,4.8602,4.7626,4.6676,4.5805,4.4955,4.4046,4.3206,4.2354,4.1538,4.0777,4.0112,3.9515,3.8933,3.8398,3.7844,3.7297,3.6769,3.6223,3.5695,3.5217,3.4761,3.4322,3.3899,3.3513,3.3101,3.2731,"-1.7%"
Canada,"Energy intensity: OECD Americas: Canada": Reference,46-IEO2019.4.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",10.5668,10.5265,10.4914,10.5696,10.3184,10.2287,10.0565,9.9765,9.8883,9.7985,9.7798,9.6448,9.4888,9.3783,9.2676,9.1671,9.0471,8.9622,8.8596,8.7901,8.687,8.5918,8.5003,8.4241,8.3471,8.2869,8.2186,8.1343,8.0698,8.0426,8.0208,7.9556,7.9048,7.8513,7.761,7.7204,7.7029,7.6758,7.6602,7.6763,7.6346,"-0.8%"
Mexico and Chile,"Energy intensity: OECD Americas: Mexico and Chile": Reference,46-IEO2019.5.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",4.1931,4.1759,4.068,4.0653,3.8895,3.8323,3.8365,3.6928,3.5982,3.5157,3.4773,3.4258,3.3519,3.2837,3.2183,3.163,3.1105,3.0702,3.028,2.9901,2.9558,2.9224,2.8899,2.8556,2.8246,2.7973,2.7737,2.7491,2.7287,2.7066,2.6892,2.675,2.6637,2.6518,2.6446,2.633,2.6255,2.6146,2.6046,2.5963,2.5875,"-1.0%"
OECD Europe,"Energy intensity: OECD Europe": Reference,46-IEO2019.6.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",4.4383,4.2172,4.2084,4.1332,3.9494,3.9148,3.8754,3.9392,3.8754,3.8467,3.8046,3.7579,3.7109,3.6709,3.6316,3.5931,3.558,3.5255,3.4928,3.4612,3.4294,3.3994,3.3722,3.3462,3.3202,3.2967,3.2765,3.2557,3.2348,3.2182,3.202,3.1842,3.167,3.1502,3.1326,3.1159,3.1026,3.0906,3.0796,3.067,3.0544,"-0.7%"
OECD Asia,"Energy intensity: OECD Asia": Reference,46-IEO2019.7.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",5.5863,5.5463,5.4087,5.3155,5.1976,5.1153,5.1013,5.1785,5.0835,4.9919,4.9071,4.8669,4.8181,4.782,4.7433,4.6947,4.6511,4.6194,4.5907,4.5714,4.5541,4.5386,4.5249,4.5178,4.5118,4.5038,4.4914,4.4746,4.4555,4.4433,4.4332,4.426,4.4174,4.4099,4.4024,4.3936,4.3871,4.3883,4.3808,4.3718,4.3708,"-0.5%"
Japan,"Energy intensity: OECD Asia: Japan": Reference,46-IEO2019.8.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",4.864,4.7261,4.55,4.4893,4.3607,4.2554,4.2289,4.2123,4.1481,4.0637,3.9934,3.931,3.8801,3.8422,3.8072,3.7699,3.7484,3.7321,3.7177,3.7089,3.705,3.7033,3.7029,3.7033,3.7046,3.7046,3.7039,3.704,3.7066,3.7094,3.7085,3.7082,3.7051,3.7049,3.7025,3.7009,3.7019,3.7041,3.7083,3.7078,3.7066,"-0.4%"
South Korea,"Energy intensity: OECD Asia: South Korea": Reference,46-IEO2019.9.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",7.5315,7.5612,7.5112,7.3254,7.1616,7.1264,7.0689,7.2939,6.9981,6.7997,6.6232,6.5489,6.4844,6.4298,6.3832,6.3281,6.2683,6.2215,6.1772,6.14,6.1084,6.073,6.0477,6.0268,6.0012,5.9809,5.9587,5.9302,5.9098,5.8877,5.8624,5.8468,5.8211,5.7998,5.7742,5.7526,5.7459,5.7444,5.7441,5.7378,5.7384,"-0.6%"
Australia and New Zealand,"Energy intensity: OECD Asia: Australia and New Zealand": Reference,46-IEO2019.10.Reference-d080819,"(Thousand Btu per 2010$ of GDP)",5.9376,6.0944,5.9573,5.8369,5.7302,5.6223,5.6415,5.8301,5.8332,5.8147,5.7438,5.7731,5.699,5.6413,5.5491,5.4173,5.2762,5.1693,5.0745,5.0061,4.9307,4.8643,4.7956,4.7541,4.7246,4.6829,4.6261,4.5526,4.4538,4.391,4.352,4.3158,4.2911,4.2604,4.2407,4.2106,4.1688,4.1542,4.0971,4.0534,4.0399,"-1.1%"
