"World gross domestic product (GDP) per capita by region expressed in purchasing power parity"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=47-IEO2019&cases=Reference&sourcekey=0"
"Tue Oct 05 2021 15:49:45 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
OECD,,47-IEO2019.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,"GDP (purchasing power parity): OECD Americas": Reference,47-IEO2019.2.Reference-d080819,"2010$/person",38544.3711,38943.5625,39495.3125,39829.7656,40491.8711,41235.2227,41519.6094,42111.7422,42866.2695,43659.418,44173.4922,44545.6992,44967,45381.8906,45848.5352,46365.7734,46902.4492,47471.3867,48091.1367,48690.457,49321.4961,49966.2969,50586.3828,51253.4258,51933.9688,52595.9453,53263.6562,53963.0117,54677.2656,55412.4219,56162.5664,56915.3242,57713.5859,58531.3047,59343.8594,60197.4258,61031.4375,61899.0195,62746.4141,63594.9258,64458.8789,"1.3%"
United States,"GDP (purchasing power parity): OECD Americas: United States": Reference,47-IEO2019.3.Reference-d080819,"2010$/person",48259.1172,48670.5547,49396.6055,49877.4922,50785.6367,51869.7148,52279.5156,53099.1875,54199.5352,55398.9883,56188.207,56717.2305,57257.0703,57795.0703,58406.8047,59101.0469,59828.793,60607.8477,61450.3867,62261.2773,63125.6992,63999.6523,64837.5391,65737.9219,66652.25,67532.2344,68421.7188,69347.4609,70306.1406,71283.4844,72289.0391,73295.7031,74356.3438,75444.5625,76543.7188,77683.9297,78806.1016,79975.8828,81110.0859,82238.1953,83346.5234,"1.4%"
Canada,"GDP (purchasing power parity): OECD Americas: Canada": Reference,47-IEO2019.4.Reference-d080819,"2010$/person",39834.8672,40679.0391,40955.0117,41463.5039,42217.1016,42161.4727,42183.625,42922.0039,43208.0938,43277.1406,43368.6953,43617.3945,43961.9531,44254.3164,44544.6953,44846.5352,45116.1445,45391.418,45674.4141,45964.293,46223.1992,46508.4102,46790.7812,47098.875,47429.6992,47758.2227,48060.9023,48361.7812,48652.3516,48956.9102,49242.3906,49532.1211,49791.4922,50053.9883,50307.6133,50559.0234,50814.8555,51064.6641,51297.5547,51510.0586,51800.9297,"0.6%"
Mexico and Chile,"GDP (purchasing power parity): OECD Americas: Mexico and Chile": Reference,47-IEO2019.5.Reference-d080819,"2010$/person",15828.9805,16237.5498,16609.0234,16716.0254,16934.3555,17246.1777,17447.2422,17622.3691,17833.9609,18022.6738,18141.9824,18300.2773,18575.4824,18841.5957,19121.0098,19387.7266,19652.666,19912.8242,20204.8379,20491.0918,20775.6074,21077.4512,21371.1133,21681.9941,22001.0723,22328.6289,22659.3574,23017.7207,23356.6855,23720.0625,24076.1426,24434.248,24835.3516,25238.8281,25599.7715,26006.6152,26375.5859,26749.7051,27130.2871,27532.4355,28005.0527,"1.4%"
OECD Europe,"GDP (purchasing power parity): OECD Europe": Reference,47-IEO2019.6.Reference-d080819,"2010$/person",32980.168,33629.6562,33499.2891,33633.3633,34158.1445,34835.5977,35374.8672,36258.3359,36856.8984,37151.1836,37676.6328,38199.8633,38701.2031,39145.7617,39629.0508,40153.0352,40693.9258,41246.9062,41783.3633,42340.9141,42899.2148,43334.2812,43710.8438,44108.1328,44540.7305,45001.2578,45458.8633,45924.1094,46384.8516,46855.8047,47349.3398,47882.4492,48432.6367,48957.3984,49492.5,50047.1211,50603,51148.793,51708.3281,52272.8438,52878.457,"1.1%"
OECD Asia,"GDP (purchasing power parity): OECD Asia": Reference,47-IEO2019.7.Reference-d080819,"2010$/person",34316.2148,34611.6211,35213.6836,35907.6953,36303.3281,36886.5469,37362.7188,38129.668,38646.8828,39158.1914,39567.6445,40245.5352,40912.5352,41479.9297,42007.0391,42542.5469,43061.1016,43593.3438,44146.5742,44710.2969,45224.9766,45711.0859,46158.2695,46645.8438,47130.2656,47628.1055,48104.5742,48565.1211,48989.4727,49486.2227,50001.0586,50531.707,51129.0117,51721.2812,52345.707,52970.7266,53593.3672,54254.8828,54797.4805,55443.7188,56206.6641,"1.2%"
Japan,"GDP (purchasing power parity): OECD Asia: Japan": Reference,47-IEO2019.8.Reference-d080819,"2010$/person",34886.6992,34867.4336,35414.7695,36162.5508,36310.4023,36822.6133,37115.8984,37910.9258,38274.8867,38693.9414,38960.6758,39508.1523,40050.668,40493.9219,40873.2695,41233.8867,41593.582,41957.7461,42337.8555,42718.7031,43057.9375,43353.5391,43625.4961,43902.9727,44193.832,44497.5938,44767.4453,44993.8125,45169.2969,45349.6562,45555.1211,45803.0391,46060.418,46318.1992,46586.8672,46869.2227,47154.9023,47436.5234,47722.5039,48018.7266,48346.3398,"0.7%"
South Korea,"GDP (purchasing power parity): OECD Asia: South Korea": Reference,47-IEO2019.9.Reference-d080819,"2010$/person",29718.6445,30689.4492,31260.1699,32027.291,32958.2617,33742.6992,34598.7617,35526.0273,36350.2461,37047.6445,37787.1797,38741.3672,39683.9219,40530.7422,41284.7148,42091.3633,42887.168,43679.4414,44445.5664,45222.2227,45948.1914,46666.4688,47302.8672,47955.4805,48619.7109,49335.0156,50025.2578,50790.8672,51542.8867,52345.0352,53212.6914,54127.0859,55152.0156,56207.7578,57309.2383,58436.6719,59572.7266,60692.7852,61813.2891,62966.8359,64135.7617,"1.8%"
Australia and New Zealand,"GDP (purchasing power parity): OECD Asia: Australia and New Zealand": Reference,47-IEO2019.10.Reference-d080819,"2010$/person",40171.5664,40677.7578,41533.5156,41780.6172,42292.4688,42772.0117,43311.9023,43592.6523,44162.1172,44673.4219,45042.8984,45714.3555,46344.6797,46861.9766,47514.5156,48199.1289,48786.9766,49440.3984,50195.3438,50982.5742,51685.918,52370.9062,53018.2344,53847.3594,54582.8828,55268.9648,55969.8281,56602.4766,57203.668,58104.125,58922.8281,59625.582,60494.9023,61285.875,62141.5781,62920.9102,63663.2266,64625.2969,64984.5898,65782.8906,67036.0156,"1.3%"
