"World carbon dioxide emissions by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=10-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:02:28 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
OECD,,10-IEO2019.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,"Carbon dioxide emissions: OECD: OECD Americas": Reference,10-IEO2019.2.Reference-d080819,"MMmt",6656.0374,6526.9929,6326.9914,6499.5529,6531.7445,6398.8309,6319.4235,6245.061,6344.0109,6302.6864,6202.3305,6132.79,6114.9055,6089.4247,6066.6023,6048.4034,6025.4845,6001.87,5992.2628,5986.55,5967.3414,5950.4001,5928.5533,5920.9217,5911.4397,5910.0189,5917.1323,5923.7505,5937.3249,5952.6525,5980.1853,5991.9117,6013.7058,6033.5651,6056.8599,6092.8843,6119.7146,6148.4658,6185.9809,6216.2672,6247.1369,"-0.0%"
United States,"Carbon dioxide emissions: OECD: OECD Americas: United States": Reference,10-IEO2019.3.Reference-d080819,"MMmt",5579.6134,5441.8419,5230.8177,5360.3126,5407.782,5262.627,5177.7483,5135.3067,5238.0371,5204.8693,5104.0336,5038.5097,5026.2676,5003.1505,4982.4925,4964.8431,4946.7104,4923.1496,4915.3036,4907.7123,4890.7987,4872.6031,4849.4471,4838.7101,4825.3461,4817.6062,4817.5995,4818.8695,4825.0785,4828.4225,4843.0756,4847.5928,4859.5354,4869.9654,4888.835,4914.5384,4928.8076,4947.2016,4972.8758,4986.1055,5006.5049,"-0.1%"
Canada,"Carbon dioxide emissions: OECD: OECD Americas: Canada": Reference,10-IEO2019.4.Reference-d080819,"MMmt",561.5059,569.1338,573.9817,608.8852,609.9077,609.0373,603.6338,602.8853,600.6719,593.8798,591.1761,587.5852,583.1047,581.7056,580.2414,579.907,574.1975,571.8596,567.637,566.7,561.3234,560.1018,559.0846,559.9398,561.0788,563.8515,566.8837,567.8541,570.7943,578.0327,585.6336,587.6684,590.6214,593.1171,590.8692,594.5436,601.289,606.7777,613.5966,624.3641,627.0828,"0.1%"
Mexico and Chile,"Carbon dioxide emissions: OECD: OECD Americas: Mexico and Chile": Reference,10-IEO2019.5.Reference-d080819,"MMmt",514.9181,516.0171,522.1919,530.3551,514.0547,527.1666,538.0415,506.8689,505.3019,503.9374,507.1208,506.6951,505.5333,504.5687,503.8683,503.6533,504.5767,506.8607,509.3222,512.1377,515.2194,517.6952,520.0217,522.2717,525.0147,528.5613,532.6492,537.0268,541.4521,546.1973,551.4761,556.6505,563.549,570.4825,577.1556,583.8022,589.6179,594.4865,599.5085,605.7976,613.5491,"0.6%"
OECD Europe,"Carbon dioxide emissions: OECD: OECD Europe": Reference,10-IEO2019.6.Reference-d080819,"MMmt",4265.1836,4189.6406,4140.8551,4058.2632,3922.1758,3974.622,3982.0078,3885.5478,3807.5814,3733.7711,3668.1324,3646.8328,3618.35,3588.5886,3562.3853,3540.7274,3511.4213,3484.7385,3454.5203,3426.5062,3397.2594,3382.8673,3365.686,3350.3903,3339.3382,3333.6347,3326.1599,3317.3633,3307.3896,3304.6427,3304.626,3305.5218,3308.2548,3308.2392,3306.8634,3307.9959,3311.5592,3315.8808,3323.1575,3326.4717,3333.4027,"-0.4%"
OECD Asia,"Carbon dioxide emissions: OECD: OECD Asia": Reference,10-IEO2019.7.Reference-d080819,"MMmt",2209.886,2298.4941,2370.0763,2393.8825,2362.5726,2342.5471,2357.6909,2387.7307,2312.0407,2239.2002,2162.8407,2161.4163,2153.7257,2145.8276,2133.4374,2115.4748,2101.4553,2092.7336,2086.1397,2084.3221,2080.7838,2080.7792,2079.2817,2082.5623,2086.0694,2088.7011,2091.4433,2090.4913,2085.7655,2088.4297,2093.1889,2105.0409,2118.8717,2132.9982,2148.4945,2162.8047,2174.6461,2192.8225,2199.9737,2210.9321,2231.6629,"-0.1%"
Japan,"Carbon dioxide emissions: OECD: OECD Asia: Japan": Reference,10-IEO2019.8.Reference-d080819,"MMmt",1159.5427,1197.9252,1257.6271,1268.3592,1233.3973,1196.5643,1194.2841,1182.8932,1146.9917,1106.6322,1067.1013,1050.8064,1036.239,1022.541,1007.7275,991.4082,984.5233,978.7267,973.6929,970.0138,966.7453,962.5244,958.0208,953.5287,949.5182,945.2296,940.4232,934.7807,928.4613,922.4749,916.112,914.8064,912.8441,911.8067,910.3381,909.289,908.2214,907.4936,907.4474,906.4112,905.3849,"-0.7%"
South Korea,"Carbon dioxide emissions: OECD: OECD Asia: South Korea": Reference,10-IEO2019.9.Reference-d080819,"MMmt",615.5722,677.5576,683.862,704.6912,706.3701,718.623,724.857,745.2484,700.4478,666.3078,632.6798,637.6761,642.9126,647.0876,650.0712,652.4908,654.3936,657.5246,660.2421,663.7091,666.6399,670.3858,673.7469,677.6547,680.8052,685.1663,690.0931,694.9337,700.3149,706.1826,712.3034,719.7992,727.0559,735.1203,742.8378,751.0992,759.0931,767.3977,775.5011,782.8741,791.207,"0.4%"
Australia and New Zealand,"Carbon dioxide emissions: OECD: OECD Asia: Australia and New Zealand": Reference,10-IEO2019.10.Reference-d080819,"MMmt",434.7711,423.0113,428.5873,420.8321,422.8052,427.3597,438.5498,459.5891,464.6011,466.2603,463.0596,472.9338,474.5742,476.199,475.6387,471.5758,462.5383,456.4823,452.2047,450.5991,447.3986,447.8691,447.5141,451.3789,455.746,458.3051,460.927,460.7769,456.9893,459.7721,464.7735,470.4353,478.9717,486.0713,495.3186,502.4166,507.3316,517.9313,517.0251,521.6468,535.0709,"0.4%"
