"World carbon dioxide intensity of energy use by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=45-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:01:46 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
OECD,,45-IEO2019.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,"Carbon dioxide intensity of energy use: OECD Americas": Reference,45-IEO2019.2.Reference-d080819,"(Metric tons per billion Btu)",55.0825,54.0223,53.3357,53.4445,53.2186,52.5757,51.9437,50.9511,50.6761,50.2948,49.4222,48.8783,48.789,48.6431,48.461,48.3591,48.2053,47.9847,47.8105,47.6722,47.4989,47.2979,47.1182,47.0002,46.8327,46.6705,46.5365,46.3979,46.2598,46.1324,46.0923,45.9603,45.8979,45.8118,45.747,45.714,45.6011,45.4933,45.4328,45.3311,45.248,"-0.4%"
United States,"Carbon dioxide intensity of energy use: OECD Americas: United States": Reference,45-IEO2019.3.Reference-d080819,"(Metric tons per billion Btu)",57.1605,56.1703,55.4206,55.4147,55.2041,54.3597,53.5918,52.7509,52.4807,52.1176,51.1262,50.5142,50.4839,50.3774,50.2206,50.1673,50.0643,49.8712,49.7351,49.6396,49.508,49.3152,49.1486,49.0547,48.8932,48.7309,48.5848,48.4339,48.2779,48.1284,48.0892,47.9493,47.895,47.8079,47.7541,47.7306,47.6046,47.4857,47.4244,47.2997,47.2109,"-0.3%"
Canada,"Carbon dioxide intensity of energy use: OECD Americas: Canada": Reference,45-IEO2019.4.Reference-d080819,"(Metric tons per billion Btu)",39.2826,38.751,38.536,39.6571,39.5596,39.5826,39.4689,38.5844,38.0027,37.3811,36.8534,36.5881,36.2821,36.0513,35.8308,35.6434,35.2403,34.916,34.5525,34.268,33.8816,33.7084,33.5471,33.4303,33.3279,33.2651,33.2761,33.2397,33.2525,33.3558,33.4698,33.4466,33.4399,33.4212,33.3031,33.3112,33.3895,33.4423,33.5282,33.6993,33.6994,"-0.4%"
Mexico and Chile,"Carbon dioxide intensity of energy use: OECD Americas: Mexico and Chile": Reference,45-IEO2019.5.Reference-d080819,"(Metric tons per billion Btu)",57.6592,55.7724,55.8666,55.6606,54.9381,55.4365,55.181,52.8295,52.7874,52.7142,52.6958,52.4167,52.1146,51.8202,51.5244,51.1986,50.9909,50.77,50.5495,50.3427,50.1382,49.8482,49.5807,49.327,49.0756,48.8442,48.6168,48.4009,48.1803,47.9918,47.8039,47.5652,47.3603,47.1809,46.9928,46.8143,46.5866,46.3566,46.1275,45.9366,45.7508,"-0.4%"
OECD Europe,"Carbon dioxide intensity of energy use: OECD Europe": Reference,45-IEO2019.6.Reference-d080819,"(Metric tons per billion Btu)",52.1028,52.5696,52.0153,51.4031,50.8941,50.7239,50.2756,46.8546,45.6962,44.5976,43.5207,43.0696,42.5984,42.1215,41.6568,41.2075,40.6292,40.0588,39.4856,38.9223,38.3627,38.0751,37.7842,37.4932,37.2295,36.9843,36.6967,36.4058,36.1185,35.8626,35.6259,35.398,35.1808,34.9606,34.7369,34.5287,34.317,34.117,33.9357,33.7367,33.5558,"-1.0%"
OECD Asia,"Carbon dioxide intensity of energy use: OECD Asia": Reference,45-IEO2019.7.Reference-d080819,"(Metric tons per billion Btu)",56.3635,58.397,60.5307,60.8544,60.6154,59.9776,59.6331,58.1775,56.5208,54.9422,53.3627,52.8087,52.2424,51.6916,51.1433,50.5847,50.1085,49.6382,49.1832,48.7478,48.3227,48.0092,47.6985,47.4001,47.1119,46.8265,46.6239,46.4146,46.1916,46.0035,45.8325,45.7811,45.7364,45.6992,45.6678,45.6299,45.5243,45.4442,45.3326,45.2341,45.1637,"-0.7%"
Japan,"Carbon dioxide intensity of energy use: OECD Asia: Japan": Reference,45-IEO2019.8.Reference-d080819,"(Metric tons per billion Btu)",53.1581,56.576,60.7807,60.898,60.7907,59.6825,59.576,58.1219,56.8218,55.5006,54.2404,53.6718,53.0717,52.4934,51.9179,51.331,51.0329,50.7295,50.4358,50.1473,49.8738,49.582,49.2953,49.001,48.7128,48.4216,48.1559,47.8925,47.6202,47.3591,47.1001,47.0526,47.0008,46.961,46.9164,46.8705,46.7857,46.7075,46.6365,46.5636,46.472,"-0.6%"
South Korea,"Carbon dioxide intensity of energy use: OECD Asia: South Korea": Reference,45-IEO2019.9.Reference-d080819,"(Metric tons per billion Btu)",55.4732,58.6597,58.2641,59.8287,59.3596,59.04,58.3279,56.3914,53.7961,51.4989,49.061,48.6283,48.1988,47.771,47.3374,46.8976,46.4987,46.1227,45.7552,45.4072,45.0621,44.8343,44.607,44.3904,44.1737,43.9774,43.881,43.7855,43.6996,43.6371,43.5811,43.5232,43.4636,43.4193,43.3747,43.334,43.1812,43.0427,42.9038,42.7644,42.6332,"-0.7%"
Australia and New Zealand,"Carbon dioxide intensity of energy use: OECD Asia: Australia and New Zealand": Reference,45-IEO2019.10.Reference-d080819,"(Metric tons per billion Btu)",69.0343,63.7509,63.7164,62.5142,62.2928,62.5121,62.092,61.4872,60.339,59.184,58.1614,57.4123,56.7563,56.1086,55.4866,54.8769,53.9543,53.0132,52.0962,51.221,50.3686,49.8962,49.4283,49.0063,48.6137,48.2207,48.0006,47.7498,47.446,47.2247,47.0621,47.0429,47.0589,47.0646,47.0981,47.1042,47.074,47.1056,47.0177,46.975,47.052,"-0.8%"
