"World gross domestic product (GDP) by region expressed in market exchange rates"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:00:40 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
OECD,,4-IEO2019.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,"GDP (exchange rate): OECD: OECD Americas": Reference,4-IEO2019.2.Reference-d080819,"bill 2010 $",17855.373,18197.7578,18614.8379,18943.1602,19435.5859,19956.5547,20259.6094,20732.1914,21299.9121,21886.2891,22331.1699,22702.3242,23093.9023,23483.25,23900.3535,24346.7168,24804.7676,25281.877,25785.8945,26279.5957,26791.2422,27309.8418,27814.8848,28345.6191,28883.6582,29410.1855,29939.252,30484.5859,31039.832,31605.7246,32181,32757.916,33359.0117,33972.2383,34586.2305,35222.5469,35850.1836,36498.5391,37135.9766,37775.9531,38419.0352,"1.9%"
United States,"GDP (exchange rate): OECD: OECD Americas: United States": Reference,4-IEO2019.3.Reference-d080819,"bill 2010 $",14965.1357,15204.7949,15542.9541,15803.6611,16209.6875,16673.541,16921.1914,17305.8672,17797.2285,18320.6348,18713.5957,19022.3594,19336.3906,19651.0703,19992.0293,20362.6523,20746.5098,21149.5488,21576.0371,21992.4219,22428.5137,22868.6699,23296.3672,23746.8633,24202.7871,24646.5312,25093.9551,25554.9805,26028.5762,26509.6602,27001.959,27495.5586,28010.5215,28537.2988,29069.9375,29620.2715,30166.1582,30732.9512,31289.0684,31846.0898,32398.9473,"1.9%"
Canada,"GDP (exchange rate): OECD: OECD Americas: Canada": Reference,4-IEO2019.4.Reference-d080819,"bill 2010 $",1613.549,1664.245,1693.434,1732.72,1782.259,1794.276,1814.021,1868.171,1906.66,1934.016,1956.5,1986.137,2020.291,2052.25,2084.2849,2116.9851,2148.2539,2179.8379,2211.8059,2244.103,2274.8491,2306.8301,2338.614,2371.6331,2405.7729,2439.7971,2472.502,2505.125,2537.2471,2570.1489,2602.1201,2634.3999,2665.1641,2696.1951,2726.8669,2757.5549,2788.637,2819.5569,2849.7261,2878.9651,2907.291,"1.3%"
Mexico and Chile,"GDP (exchange rate): OECD: OECD Americas: Mexico and Chile": Reference,4-IEO2019.5.Reference-d080819,"bill 2010 $",1276.689,1328.718,1378.45,1406.7791,1443.639,1488.738,1524.3979,1558.153,1596.0229,1631.6379,1661.074,1693.828,1737.22,1779.9301,1824.0389,1867.08,1910.0031,1952.49,1998.052,2043.071,2087.8799,2134.3411,2179.9031,2227.1221,2275.0979,2323.8569,2372.7949,2424.481,2474.0081,2525.916,2576.9209,2627.958,2683.3269,2738.7451,2789.426,2844.719,2895.3899,2946.033,2997.1819,3050.8979,3112.7971,"2.1%"
OECD Europe,"GDP (exchange rate): OECD: OECD Europe": Reference,4-IEO2019.6.Reference-d080819,"bill 2010 $",18695.4707,19107.7402,19108.7891,19254.8809,19643.1895,20113.5703,20520.9902,21086.4609,21509.0703,21782.5703,22153.2793,22512.2109,22856.4102,23158.3594,23478.3496,23819.7402,24168.4297,24522.1602,24865.3008,25218.5391,25572.2891,25858.0703,26107.8301,26369.8203,26650.7695,26946.1094,27236.9102,27530.4004,27818.6699,28111.4297,28415.9004,28741.3809,29075.1992,29390.5391,29708.7402,30034.6406,30356.6602,30668.3105,30984.0801,31300.8906,31637.1406,"1.2%"
OECD Asia,"GDP (exchange rate): OECD: OECD Asia": Reference,4-IEO2019.7.Reference-d080819,"bill 2010 $",8192.1572,8264.1543,8429.3389,8611.5068,8709.3154,8859.0605,8979.79,9175.3633,9305.6211,9434.1895,9533.2891,9696.8496,9856.6328,9990.6592,10113.249,10234.834,10350.1074,10467.3496,10589.5098,10713.0527,10823.0342,10923.7607,11014.3721,11113.9629,11210.8203,11307.9102,11398.1074,11479.8115,11550.6641,11638.8369,11728.6855,11819.8164,11924.3818,12025.5723,12133.9375,12241.0654,12346.7402,12462.8926,12545.8545,12655.6543,12795.9648,"1.0%"
Japan,"GDP (exchange rate): OECD: OECD Asia: Japan": Reference,4-IEO2019.8.Reference-d080819,"bill 2010 $",5703.228,5697.689,5783.3379,5900.0669,5917.1382,5991.6641,6028.4502,6144.5391,6188.7158,6240.063,6265.291,6333.876,6399.5859,6447.5469,6483.7031,6515.418,6545.3511,6574.2222,6604.0308,6632.6182,6653.5991,6666.6108,6674.6758,6682.4678,6691.3481,6701.3379,6705.21,6701.5391,6689.6021,6678.0361,6670.0078,6667.8232,6666.4658,6664.8398,6664.668,6666.5322,6668.9429,6670.7222,6673.0288,6676.6558,6684.5132,"0.2%"
South Korea,"GDP (exchange rate): OECD: OECD Asia: South Korea": Reference,4-IEO2019.9.Reference-d080819,"bill 2010 $",1094.1219,1134.4041,1160.4091,1194.017,1233.915,1268.344,1305.498,1345.4821,1381.651,1412.995,1445.8781,1486.937,1527.546,1564.418,1597.595,1632.675,1667.2531,1701.595,1734.687,1767.8149,1798.469,1828.366,1854.63,1880.979,1907.103,1934.421,1959.884,1987.462,2013.701,2041.127,2070.343,2100.498,2133.9871,2167.772,2202.509,2237.481,2271.9131,2304.7759,2336.7849,2369.2681,2401.6179,"1.7%"
Australia and New Zealand,"GDP (exchange rate): OECD: OECD Asia: Australia and New Zealand": Reference,4-IEO2019.10.Reference-d080819,"bill 2010 $",1394.807,1432.061,1485.592,1517.423,1558.262,1599.053,1645.842,1685.342,1735.254,1781.131,1822.12,1876.037,1929.501,1978.694,2031.951,2086.741,2137.5029,2191.532,2250.792,2312.6201,2370.9661,2428.7839,2485.0659,2550.5161,2612.3689,2672.1509,2733.0139,2790.8101,2847.3611,2919.6741,2988.335,3051.4951,3123.929,3192.96,3266.76,3337.052,3405.884,3487.394,3536.041,3609.73,3709.834,"2.4%"
Total OECD,"GDP (exchange rate): OECD: Total OECD": Reference,4-IEO2019.11.Reference-d080819,"bill 2010 $",44743,45569.6523,46152.9648,46809.5469,47788.0898,48929.1875,49760.3906,50994.0156,52114.6016,53103.0469,54017.7383,54911.3867,55806.9453,56632.2695,57491.9531,58401.293,59323.3047,60271.3867,61240.707,62211.1875,63186.5664,64091.6719,64937.0859,65829.3984,66745.25,67664.2031,68574.2734,69494.7969,70409.1641,71355.9922,72325.5859,73319.1172,74358.5938,75388.3516,76428.9062,77498.25,78553.5859,79629.7422,80665.9141,81732.5,82852.1406,"1.5%"
Non-OECD,,4-IEO2019.12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
