"World gross domestic product (GDP) by region expressed in purchasing power parity"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:00:24 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
OECD,,3-IEO2019.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,"GDP (purchasing power parity): OECD: OECD Americas": Reference,3-IEO2019.2.Reference-d080819,"bill 2010 $",18447.6562,18815.6523,19260.3574,19600.1035,20109.5684,20659.1348,20983.4902,21470.1816,22055.9941,22661.2344,23121.3789,23509.1562,23924.1602,24336.7969,24778.0215,25247.5195,25728.8086,26228.7988,26757.7773,27275.9609,27812.1758,28356.2852,28886.2832,29442.9102,30007.1777,30560.4785,31116.7324,31691.1523,32274.1074,32869.2656,33473.3086,34078.9688,34712.1094,35357.3828,36000.1172,36668.3477,37324.5898,38001.5898,38668.1445,39339.168,40019.2031,"1.9%"
United States,"GDP (purchasing power parity): OECD: OECD Americas: United States": Reference,3-IEO2019.3.Reference-d080819,"bill 2010 $",14965.1357,15204.7949,15542.9541,15803.6611,16209.6875,16673.541,16921.1914,17305.8672,17797.2285,18320.6348,18713.5957,19022.3594,19336.3906,19651.0703,19992.0293,20362.6523,20746.5098,21149.5488,21576.0371,21992.4219,22428.5137,22868.6699,23296.3672,23746.8633,24202.7871,24646.5312,25093.9551,25554.9805,26028.5762,26509.6602,27001.959,27495.5586,28010.5215,28537.2988,29069.9375,29620.2715,30166.1582,30732.9512,31289.0684,31846.0898,32398.9473,"1.9%"
Canada,"GDP (purchasing power parity): OECD: OECD Americas: Canada": Reference,3-IEO2019.4.Reference-d080819,"bill 2010 $",1352.726,1395.228,1419.699,1452.634,1494.165,1504.24,1520.7939,1566.1899,1598.458,1621.392,1640.241,1665.087,1693.72,1720.514,1747.37,1774.785,1800.999,1827.478,1854.278,1881.354,1907.13,1933.942,1960.588,1988.27,2016.892,2045.415,2072.834,2100.1841,2127.113,2154.697,2181.5,2208.562,2234.353,2260.3679,2286.082,2311.8101,2337.8669,2363.7891,2389.082,2413.595,2437.342,"1.3%"
Mexico and Chile,"GDP (purchasing power parity): OECD: OECD Americas: Mexico and Chile": Reference,3-IEO2019.5.Reference-d080819,"bill 2010 $",2129.7939,2215.6299,2297.7041,2343.8091,2405.7151,2481.354,2541.5049,2598.124,2660.3081,2719.207,2767.543,2821.709,2894.0491,2965.2129,3038.623,3110.082,3181.2991,3251.772,3327.4619,3402.1851,3476.532,3553.6731,3629.3279,3707.7771,3787.498,3868.533,3949.9431,4035.9871,4118.4189,4204.9102,4289.8511,4374.8472,4467.2339,4559.7148,4644.0981,4736.2651,4820.563,4904.8501,4989.9951,5079.4839,5182.9121,"2.1%"
OECD Europe,"GDP (purchasing power parity): OECD: OECD Europe": Reference,3-IEO2019.6.Reference-d080819,"bill 2010 $",18444.0293,18898.2793,18916.6797,19101.4102,19512.9902,20015.5996,20437.5703,21052.0605,21500.8809,21764.2891,22153.6602,22532.1191,22889.6602,23208.2793,23548.0508,23913.4805,24290.5703,24674.3809,25048.1504,25434.8906,25822.5195,26136.3691,26414.75,26705.0391,27015.5508,27341.1797,27663.1191,27987.9805,28308.3105,28632.8301,28968.8203,29326.5391,29692.0195,30038.8906,30388.8496,30747.3105,31102.4395,31447.5,31797.8594,32148.8301,32523.1992,"1.3%"
OECD Asia,"GDP (purchasing power parity): OECD: OECD Asia": Reference,3-IEO2019.7.Reference-d080819,"bill 2010 $",7018.6162,7096.5991,7239.3091,7400.5596,7498.8901,7635.3081,7750.2681,7925.4971,8046.8809,8164.3472,8259.7168,8409.6934,8556.374,8680.9766,8794.4297,8908.0977,9016.7129,9126.5986,9239.4287,9353.2539,9455.209,9549.4932,9633.8623,9724.9512,9813.9619,9903.9355,9987.4121,10065.5527,10134.4756,10216.9668,10301.9727,10388.7588,10487.5615,10584.04,10686.4639,10788.2305,10888.6094,10995.7656,11077.8701,11180.166,11305.168,"1.1%"
Japan,"GDP (purchasing power parity): OECD: OECD Asia: Japan": Reference,3-IEO2019.8.Reference-d080819,"bill 2010 $",4484.563,4480.207,4547.5542,4639.3408,4652.7642,4711.3652,4740.29,4831.5732,4866.311,4906.686,4926.5229,4980.4531,5032.1221,5069.835,5098.2661,5123.2031,5146.7402,5169.4419,5192.8818,5215.3599,5231.8579,5242.0889,5248.4312,5254.5581,5261.541,5269.396,5272.4409,5269.5542,5260.168,5251.0732,5244.7612,5243.042,5241.9751,5240.6958,5240.561,5242.0269,5243.9219,5245.3218,5247.1372,5249.9878,5256.166,"0.2%"
South Korea,"GDP (purchasing power parity): OECD: OECD Asia: South Korea": Reference,3-IEO2019.9.Reference-d080819,"bill 2010 $",1473.379,1527.625,1562.644,1607.901,1661.629,1707.9919,1758.024,1811.868,1860.575,1902.7841,1947.0649,2002.356,2057.041,2106.6941,2151.3721,2198.6121,2245.176,2291.4209,2335.9839,2380.5959,2421.875,2462.136,2497.5029,2532.9861,2568.165,2604.9519,2639.2419,2676.3789,2711.7129,2748.646,2787.989,2828.5969,2873.6941,2919.1909,2965.968,3013.063,3059.429,3103.6841,3146.7891,3190.531,3234.094,"1.7%"
Australia and New Zealand,"GDP (purchasing power parity): OECD: OECD Asia: Australia and New Zealand": Reference,3-IEO2019.10.Reference-d080819,"bill 2010 $",1060.674,1088.767,1129.111,1153.318,1184.4969,1215.951,1251.954,1282.056,1319.995,1354.877,1386.129,1426.884,1467.2111,1504.448,1544.792,1586.282,1624.797,1665.736,1710.563,1757.298,1801.476,1845.2679,1887.928,1937.407,1984.256,2029.588,2075.729,2119.6201,2162.595,2217.2471,2269.2229,2317.1201,2371.8921,2424.1531,2479.9351,2533.1411,2585.2581,2646.76,2683.9441,2739.647,2814.908,"2.4%"
Total OECD,"GDP (purchasing power parity): OECD: Total OECD": Reference,3-IEO2019.11.Reference-d080819,"bill 2010 $",43910.3008,44810.5312,45416.3477,46102.0742,47121.4492,48310.043,49171.3281,50447.7383,51603.7578,52589.8711,53534.7578,54450.9688,55370.1953,56226.0547,57120.5039,58069.0977,59036.0898,60029.7773,61045.3555,62064.1055,63089.9023,64042.1484,64934.8945,65872.8984,66836.6875,67805.5938,68767.2656,69744.6875,70716.8906,71719.0625,72744.1016,73794.2656,74891.6875,75980.3125,77075.4297,78203.8906,79315.6328,80444.8594,81543.875,82668.1641,83847.5703,"1.5%"
Non-OECD,,3-IEO2019.12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-OECD Europe and Eurasia,"GDP (purchasing power parity): Non-OECD: Non-OECD Europe and Eurasia": Reference,3-IEO2019.13.Reference-d080819,"bill 2010 $",5132.9922,5341.6802,5508.2358,5624.6133,5657.0361,5565.729,5610.0459,5747.6436,5891.3896,6003.7549,6069.5947,6189.5078,6320.562,6459.769,6584.9502,6709.9932,6825.8301,6937.5322,7049.335,7173.5615,7304.5166,7502.9111,7644.1562,7794.4941,7946.3931,8096.1289,8227.7197,8362.3613,8489.6621,8610.3594,8734.9434,8856.8438,8983.0332,9100.0947,9221.0938,9345.0918,9458.2744,9564.7578,9680.7783,9791.4561,9912.3828,"1.6%"
Russia,"GDP (purchasing power parity): Non-OECD: Non-OECD Europe and Eurasia: Russia": Reference,3-IEO2019.14.Reference-d080819,"bill 2010 $",3245.134,3376.7141,3499.9209,3562.1201,3588.5591,3497.0879,3491.709,3545.6809,3611.877,3664.626,3675.0349,3730.2471,3799.3999,3874.137,3934.0271,3990.4199,4039.77,4084.821,4130.1362,4184.4922,4246.1489,4368.0801,4437.5742,4512.23,4585.1382,4652.9849,4706.8799,4760.9849,4807.6201,4847.5,4888.2808,4927.752,4970.7891,5005.5029,5040.769,5076.9409,5105.1382,5126.5552,5152.7412,5174.5781,5200.1372,"1.1%"
Other,"GDP (purchasing power parity): Non-OECD: Non-OECD Europe and Eurasia: Other": Reference,3-IEO2019.15.Reference-d080819,"bill 2010 $",1887.858,1964.9659,2008.3149,2062.4929,2068.4771,2068.6411,2118.3369,2201.9629,2279.5129,2339.1289,2394.5601,2459.261,2521.1621,2585.6321,2650.9231,2719.573,2786.0601,2852.7109,2919.199,2989.0691,3058.3679,3134.8311,3206.582,3282.2639,3361.2549,3443.144,3520.8401,3601.377,3682.042,3762.8589,3846.6621,3929.092,4012.2439,4094.592,4180.3252,4268.1509,4353.1362,4438.2021,4528.0371,4616.8779,4712.2451,"2.3%"
