"World population by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=14-IEO2019&cases=Reference&sourcekey=1"
"Wed Jun 17 2020 11:00:53 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
OECD,,14-IEO2019.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,"Population: OECD: OECD Americas": Reference,14-IEO2019.2.Reference-d080819,"millions",478.6083,483.1518,487.6619,492.0969,496.6322,501.007,505.3875,509.8384,514.5303,519.0457,523.422,527.7537,532.0381,536.2667,540.4321,544.5292,548.56,552.5181,556.3973,560.1911,563.8956,567.5082,571.0289,574.4574,577.7948,581.0425,584.202,587.2755,590.2656,593.175,596.0074,598.7661,601.4547,604.0765,606.6359,609.1348,611.5633,613.9288,616.2606,618.5897,620.8486,"0.6%"
United States,"Population: OECD: OECD Americas: United States": Reference,14-IEO2019.3.Reference-d080819,"millions",310.0997,312.4023,314.6563,316.8495,319.1786,321.4504,323.6677,325.9159,328.365,330.7034,333.052,335.3894,337.7118,340.0129,342.2894,344.5396,346.7646,348.9572,351.1131,353.2279,355.2993,357.3249,359.3037,361.2354,363.1204,364.9595,366.7542,368.5063,370.2177,371.8906,373.5277,375.1319,376.7065,378.2552,379.7821,381.2921,382.7896,384.2777,385.7605,387.2421,388.7259,"0.5%"
Canada,"Population: OECD: OECD Americas: Canada": Reference,14-IEO2019.4.Reference-d080819,"millions",33.9583,34.2985,34.6648,35.034,35.3924,35.6781,36.0518,36.4892,36.9944,37.4653,37.8209,38.1748,38.527,38.8779,39.2273,39.5746,39.9192,40.2604,40.5977,40.9308,41.2592,41.5826,41.9012,42.2148,42.5238,42.8285,43.1293,43.4265,43.7207,44.0121,44.3013,44.5885,44.8742,45.1586,45.4421,45.725,46.0075,46.2901,46.573,46.8568,47.0521,"0.8%"
Mexico and Chile,"Population: OECD: OECD Americas: Mexico and Chile": Reference,14-IEO2019.5.Reference-d080819,"millions",134.5503,136.451,138.3407,140.2133,142.0612,143.8785,145.668,147.4333,149.1709,150.877,152.5491,154.1894,155.7994,157.3759,158.9154,160.415,161.8762,163.3004,164.6864,166.0324,167.3372,168.6007,169.824,171.0072,172.1506,173.2544,174.3184,175.3426,176.3272,177.2723,178.1785,179.0457,179.874,180.6627,181.4117,182.1177,182.7661,183.3609,183.9271,184.4909,185.0706,"0.7%"
OECD Europe,"Population: OECD: OECD Europe": Reference,14-IEO2019.6.Reference-d080819,"millions",559.2461,561.9528,564.689,567.9304,571.2544,574.5732,577.7427,580.613,583.3611,585.8303,587.9947,589.8482,591.4457,592.8683,594.2118,595.5585,596.909,598.2117,599.4766,600.7166,601.9346,603.1338,604.3066,605.4448,606.5358,607.5648,608.5308,609.4398,610.2921,611.0839,611.8104,612.4695,613.0581,613.572,614.0092,614.3672,614.6363,614.8239,614.9466,615.0197,615.0558,"0.2%"
OECD Asia,"Population: OECD: OECD Asia": Reference,14-IEO2019.7.Reference-d080819,"millions",204.5277,205.0351,205.5823,206.0995,206.562,206.9944,207.4332,207.8564,208.2155,208.4965,208.7493,208.9597,209.1382,209.2814,209.3561,209.3927,209.3935,209.3576,209.2898,209.1969,209.0705,208.9098,208.7137,208.4848,208.2306,207.9431,207.6188,207.2589,206.8705,206.4608,206.0351,205.5889,205.1196,204.6361,204.1517,203.664,203.1708,202.6687,202.1602,201.6489,201.1357,"-0.1%"
Japan,"Population: OECD: OECD Asia: Japan": Reference,14-IEO2019.8.Reference-d080819,"millions",128.5465,128.4926,128.4084,128.2913,128.1386,127.9476,127.7159,127.4454,127.1411,126.8076,126.4486,126.0614,125.6439,125.1999,124.7335,124.2474,123.7388,123.2059,122.6534,122.0861,121.5074,120.9149,120.3065,119.6857,119.056,118.4198,117.774,117.1173,116.4545,115.7908,115.13,114.4693,113.8065,113.1455,112.4901,111.8437,111.2063,110.5756,109.951,109.3321,108.719,"-0.5%"
South Korea,"Population: OECD: OECD Asia: South Korea": Reference,14-IEO2019.9.Reference-d080819,"millions",49.5776,49.7769,49.9883,50.2041,50.4162,50.6181,50.8118,51.0011,51.1847,51.3605,51.5271,51.6852,51.8356,51.9777,52.1106,52.2343,52.3508,52.4599,52.5583,52.6422,52.7088,52.7603,52.7981,52.8195,52.8215,52.8013,52.7582,52.6941,52.6108,52.5102,52.3933,52.2584,52.105,51.9357,51.7537,51.5612,51.3562,51.1376,50.908,50.67,50.4258,"-0.0%"
Australia and New Zealand,"Population: OECD: OECD Asia: Australia and New Zealand": Reference,14-IEO2019.10.Reference-d080819,"millions",26.4036,26.7657,27.1855,27.6041,28.0073,28.4287,28.9055,29.4099,29.8898,30.3285,30.7735,31.213,31.6587,32.1038,32.512,32.911,33.3039,33.6918,34.0781,34.4686,34.8543,35.2346,35.609,35.9796,36.3531,36.722,37.0866,37.4475,37.8052,38.1599,38.5118,38.8612,39.2081,39.5548,39.9078,40.2591,40.6083,40.9555,41.3012,41.6468,41.991,"1.1%"
