"World total primary energy consumption by region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=1-IEO2019&sourcekey=0"
"Wed Jun 17 2020 10:57:39 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2018-2050)"
OECD,,1-IEO2019.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,"Energy use: OECD: OECD Americas": Reference,1-IEO2019.2.Reference-d080819,"quad Btu",120.8375,120.8203,118.6258,121.613,122.7342,121.707,121.659,122.5697,125.1873,125.3148,125.497,125.4706,125.3337,125.1857,125.1852,125.0727,124.9964,125.0789,125.3337,125.5773,125.6312,125.8068,125.8231,125.9765,126.2247,126.633,127.1503,127.6727,128.3474,129.0342,129.7438,130.3716,131.0236,131.7034,132.3991,133.2828,134.2011,135.1511,136.1568,137.1303,138.0643,"0.3%"
United States,"Energy use: OECD: OECD Americas: United States": Reference,1-IEO2019.3.Reference-d080819,"quad Btu",97.6131,96.8811,94.384,96.7309,97.9598,96.8111,96.6147,97.3502,99.8089,99.8678,99.8321,99.7445,99.5618,99.3133,99.2121,98.9658,98.8072,98.7173,98.8297,98.867,98.7881,98.8053,98.669,98.6391,98.6915,98.8613,99.1585,99.4937,99.9439,100.3238,100.7102,101.0983,101.4623,101.8653,102.3751,102.964,103.5364,104.1829,104.8591,105.4151,106.0455,"0.2%"
Canada,"Energy use: OECD: OECD Americas: Canada": Reference,1-IEO2019.4.Reference-d080819,"quad Btu",14.294,14.6869,14.8947,15.3538,15.4174,15.3865,15.2939,15.6251,15.806,15.8872,16.0413,16.0595,16.0714,16.1355,16.1939,16.2697,16.2938,16.3781,16.4282,16.5373,16.5672,16.6161,16.6657,16.7495,16.8351,16.9502,17.0358,17.0836,17.1655,17.3293,17.4974,17.5703,17.6622,17.7467,17.7422,17.8482,18.0083,18.144,18.3009,18.5275,18.6081,"0.5%"
Mexico and Chile,"Energy use: OECD: OECD Americas: Mexico and Chile": Reference,1-IEO2019.5.Reference-d080819,"quad Btu",8.9304,9.2522,9.3471,9.5284,9.357,9.5094,9.7505,9.5944,9.5724,9.5598,9.6236,9.6667,9.7004,9.7369,9.7792,9.8372,9.8954,9.9835,10.0757,10.173,10.276,10.3854,10.4884,10.5879,10.6981,10.8214,10.9561,11.0954,11.238,11.381,11.5362,11.7029,11.8992,12.0914,12.2818,12.4706,12.6564,12.8242,12.9968,13.1877,13.4107,"1.1%"
OECD Europe,"Energy use: OECD: OECD Europe": Reference,1-IEO2019.6.Reference-d080819,"quad Btu",81.861,79.697,79.6085,78.9497,77.0655,78.358,79.2037,82.9278,83.3238,83.7213,84.2849,84.673,84.941,85.1961,85.5175,85.9244,86.4259,86.9907,87.4881,88.0345,88.5563,88.8473,89.0765,89.36,89.696,90.1364,90.6392,91.1218,91.5704,92.1474,92.759,93.3815,94.0359,94.6276,95.1975,95.8043,96.4991,97.1916,97.9252,98.601,99.3389,"0.6%"
OECD Asia,"Energy use: OECD: OECD Asia": Reference,1-IEO2019.7.Reference-d080819,"quad Btu",39.2078,39.3598,39.155,39.3379,38.9765,39.057,39.5366,41.0421,40.9061,40.7555,40.531,40.9291,41.2256,41.5121,41.7149,41.8204,41.9381,42.1598,42.4157,42.7573,43.0601,43.3413,43.5922,43.9358,44.279,44.6051,44.8577,45.0395,45.1547,45.3972,45.6704,45.9806,46.328,46.6747,47.0462,47.3989,47.7689,48.2531,48.5296,48.8775,49.4128,"0.6%"
Japan,"Energy use: OECD: OECD Asia: Japan": Reference,1-IEO2019.8.Reference-d080819,"quad Btu",21.8131,21.1737,20.6912,20.8276,20.2892,20.0488,20.0464,20.3519,20.1858,19.9391,19.6736,19.5784,19.5252,19.4794,19.41,19.314,19.2919,19.293,19.3056,19.3433,19.3838,19.4128,19.4343,19.4594,19.4922,19.5208,19.5287,19.5183,19.4972,19.4783,19.4503,19.4422,19.4219,19.4163,19.4034,19.4,19.4124,19.4293,19.4579,19.4661,19.4824,"-0.1%"
South Korea,"Energy use: OECD: OECD Asia: South Korea": Reference,1-IEO2019.9.Reference-d080819,"quad Btu",11.0968,11.5507,11.7373,11.7785,11.8999,12.1718,12.4273,13.2156,13.0204,12.9383,12.8958,13.1133,13.3388,13.5456,13.7327,13.9131,14.0734,14.256,14.4299,14.6168,14.7938,14.9525,15.1041,15.2658,15.412,15.58,15.7265,15.8713,16.0257,16.1831,16.3443,16.5383,16.7279,16.9307,17.1261,17.3328,17.5792,17.8287,18.0754,18.3067,18.5585,"1.1%"
Australia and New Zealand,"Energy use: OECD: OECD Asia: Australia and New Zealand": Reference,1-IEO2019.10.Reference-d080819,"quad Btu",6.2979,6.6354,6.7265,6.7318,6.7874,6.8364,7.0629,7.4746,7.6999,7.8781,7.9616,8.2375,8.3616,8.4871,8.5721,8.5933,8.5728,8.6107,8.6802,8.7971,8.8825,8.976,9.0538,9.2106,9.3748,9.5043,9.6025,9.6498,9.6318,9.7358,9.8758,10.0001,10.1781,10.3278,10.5167,10.6661,10.7773,10.9951,10.9964,11.1048,11.3719,"1.2%"
